"39129090 - Cellulose et ses dérivés chimiques, n.d.a., sous formes primaires (à l'excl. des acétates, nitrates, éthers et esters de cellulose)"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Exportation";"Masse en kilogramme";"Egypte";0;0;502;300;0;1345;500;0;0;94;576;3649;329
"Exportation";"Masse en kilogramme";"Allemagne";2079;632;2603;502;4224;207;3189;4311;9941;1204;188;578;282
"Exportation";"Masse en kilogramme";"Pologne";352;1268;93;2286;3290;328;2179;2422;575;5875;6536;563;217
"Exportation";"Masse en kilogramme";"Canada";40;0;0;0;0;0;0;214;0;0;0;6;146
"Exportation";"Masse en kilogramme";"Danemark";21;0;40;124;0;140;4;200;0;0;150;0;124
"Exportation";"Masse en kilogramme";"Brésil";3780;100;6;0;80;0;50;162;50;0;0;3;60
"Exportation";"Masse en kilogramme";"Tunisie";14610;20010;19;11988;2;0;16241;1;11969;10;17171;2;46
"Exportation";"Masse en kilogramme";"Inde";1080;0;460;0;0;360;365;4;0;100;0;645;38
"Exportation";"Masse en kilogramme";"Chine";7;0;0;0;0;342;7;96;0;0;0;0;25
"Exportation";"Masse en kilogramme";"République tchèque";1;0;0;1;1;0;0;0;0;0;1;2;6
"Exportation";"Masse en kilogramme";"Ouganda";0;0;0;0;0;0;0;0;0;0;0;0;5
"Exportation";"Masse en kilogramme";"Etats-Unis d Amérique";748;1440;1;1;324;11;244;102;2;210;67;7839;0
"Exportation";"Masse en kilogramme";"Vietnam";0;10;0;0;42;0;0;0;0;240;0;0;0
"Exportation";"Masse en kilogramme";"Uruguay";0;0;0;0;0;0;0;0;0;0;0;4;0
"Exportation";"Masse en kilogramme";"Afrique du Sud";1;0;0;0;0;0;0;0;0;0;23;40;0
"Exportation";"Masse en kilogramme";"Serbie";1200;0;0;650;0;0;0;1725;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Corée du Sud";8932;0;0;5980;0;0;0;6000;4800;24240;26186;7450;0
"Exportation";"Masse en kilogramme";"Lettonie";0;20;0;0;0;20;0;40;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Luxembourg";0;0;680;1;1;0;0;0;100;1;0;0;0
"Exportation";"Masse en kilogramme";"Lituanie";0;0;0;0;0;0;0;0;0;0;62;0;0
"Exportation";"Masse en kilogramme";"Liban";0;0;0;0;0;0;0;1;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Malaysie";0;0;0;0;0;0;0;4;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Mexique";0;0;0;0;0;0;0;0;0;0;0;100;0
"Exportation";"Masse en kilogramme";"Nigéria";0;0;0;0;200;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Polynésie française";0;0;0;0;0;0;0;0;0;0;1;0;0
"Exportation";"Masse en kilogramme";"Mali";1;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Madagascar";0;0;0;0;0;0;0;0;0;0;120;0;0
"Exportation";"Masse en kilogramme";"Maroc";0;0;1012;1;13;0;680;20;74;20;1308;0;0
"Exportation";"Masse en kilogramme";"Moldova";0;0;0;1360;0;0;0;0;0;15;0;0;0
"Exportation";"Masse en kilogramme";"Thaïlande";0;0;0;1;0;0;0;30;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Taïwan";0;5;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Togo";0;0;0;0;0;0;0;1;1;0;0;0;0
"Exportation";"Masse en kilogramme";"Sénégal";0;0;400;0;0;0;0;0;0;39;0;0;0
"Exportation";"Masse en kilogramme";"Slovaquie";1;115;1;2;1;0;6;0;0;1;5;0;0
"Exportation";"Masse en kilogramme";"Russie";2320;7560;3160;660;0;700;0;840;160;0;300;360;0
